月数,人口,单岗研究,总研究,单岗超然逻辑,总超然逻辑,单岗能量币维护,总岗能量币维护,人口净化进度,产生人口净化进度,人口增长进度,产生人口增长进度,帝国人口
249,303,224.96990625,68165.88159375,5.371621875000001,1627.6014281250002,41.09437500000001,12451.595625000002,44.95000000002415,486.55,266.29999999998563,1465,2503
250,302,223.8050625,67589.128875,5.33879375,1612.3157125,40.95875000000001,12369.542500000003,31.5000000000241,484.70000000000005,330.0999999999856,1465,2502
251,302,223.8050625,67589.128875,5.33879375,1612.3157125,40.95875000000001,12369.542500000003,16.200000000024147,484.70000000000005,44.09999999998536,1465,2502
252,301,222.64321875000002,67015.60884375,5.3060656250000005,1597.125753125,40.823125000000005,12287.760625,0.9000000000241926,482.85,108.29999999998518,1465,2501
253,301,222.64321875000002,67015.60884375,5.3060656250000005,1597.125753125,40.823125000000005,12287.760625,83.75000000002422,482.85,172.89999999998508,1465,2501
254,300,221.484375,66445.3125,5.2734375,1582.03125,40.68750000000001,12206.250000000002,66.60000000002424,481.0,237.499999999985,1465,2500
255,299,220.32853125000003,65878.23084375,5.240909375000001,1567.0319031250003,40.55187500000001,12125.010625000003,47.60000000002424,479.15000000000003,302.499999999985,1465,2499
256,299,220.32853125000003,65878.23084375,5.240909375000001,1567.0319031250003,40.55187500000001,12125.010625000003,26.75000000002433,479.15000000000003,17.999999999985107,1465,2499
257,298,219.17568749999998,65314.354875,5.20848125,1552.1274125,40.416250000000005,12044.042500000001,5.900000000024363,477.3,83.39999999998508,1465,2498
258,298,219.17568749999998,65314.354875,5.20848125,1552.1274125,40.416250000000005,12044.042500000001,83.20000000002437,477.3,149.19999999998504,1465,2498
